1. [1] Dolo 650 650mg | Tablet | Micro Labs
2. [2] Calpol 500 500mg | Tablet | GSK
3. [3] Pan 40 40mg | Tablet | Alkem
4. [4] Pan D 40mg+30mg | Capsule | Alkem
5. [5] Augmentin 625 Duo 625mg | Tablet | GSK
6. [6] Monocef O 200 200mg | Tablet | Aristo
7. [7] Azithral 500 500mg | Tablet | Alembic
8. [8] Allegra 120 120mg | Tablet | Sanofi
9. [9] Okacet 10mg | Tablet | Cipla
10. [10] Montair LC 10mg+5mg | Tablet | Cipla
11. [11] Ascoril LS Syrup | Syrup | Glenmark
12. [12] Corex DX Syrup | Syrup | Pfizer
13. [13] Thyronorm 50 50mcg | Tablet | Abbott
14. [14] Ecosprin 75 75mg | Tablet | USV
15. [15] Clopilet 75mg | Tablet | Sun Pharma
16. [16] Telma 40 40mg | Tablet | Glenmark
17. [17] Telma H 40mg+12.5mg | Tablet | Glenmark
18. [18] Glycomet GP 1 1mg+500mg | Tablet | USV
19. [19] Glycomet GP 2 2mg+500mg | Tablet | USV
20. [20] Janumet 50/500 50mg+500mg | Tablet | MSD
21. [21] Udapa 10 10mg | Tablet | Cipla
22. [22] Cilacar 10 10mg | Tablet | J.B. Chemicals
23. [23] Voveran SR 100 100mg | Tablet | Novartis
24. [24] Zerodol SP 100mg+15mg+325mg | Tablet | Ipca
25. [25] Ultracet 37.5mg+325mg | Tablet | Janssen
26. [26] Aciloc 150 150mg | Tablet | Cadila
27. [27] Omez 20 20mg | Capsule | Dr. Reddys
28. [28] Eldoper 2mg | Tablet | Micro Labs
29. [29] Electral Sachet | Powder | FDC
30. [30] Taxim O 200 200mg | Tablet | Alkem
31. [31] Azee 500 500mg | Tablet | Cipla
32. [32] Betadine 5% 5% | Ointment | Win-Medicare
33. [33] Soframycin 1% | Cream | Sanofi
34. [34] Atarax 25 25mg | Tablet | Dr. Reddys
35. [35] Evion 400 400mg | Capsule | P&G
36. [36] Becosules Cap | Capsule | Pfizer
37. [37] Shelcal 500 500mg+250IU | Tablet | Torrent
38. [38] Limcee 500 500mg | Tablet | Abbott
39. [39] A to Z Gold Cap | Capsule | Alkem
40. [40] Dexona 0.5mg | Tablet | Zydus
41. [41] Liv 52 Tab | Tablet | Himalaya
42. [42] Volini Gel | Gel | Sun Pharma
43. [43] Vicks Vaporub Ointment | Ointment | P&G
44. [44] Omesolone 500mg | Sachet | Wockhardt
45. [45] Cloxprofen Plus 25mg | Ointment | Dr. Reddys
46. [46] Rosubuvir 5mg | Powder | Lupin
47. [47] Carbsolone Plus 1000mg | Syrup | Aurobindo
48. [48] Vallone Plus 2.5mg | Sachet | Sanofi
49. [49] Avilone 2gm | Syrup | J.B. Chemicals
50. [50] Eryprazole 100mcg | Cream | Pfizer
51. [51] Famdoc SR 800mg | Inhaler | Alembic
52. [52] Sanokacin A 2mg | Powder | Aristo
53. [53] Levprevir ER 40mg | Ointment | Abbott
54. [54] Parakast D 50mg | Sachet | Torrent
55. [55] Imisone 50mg | Drops | Aurobindo
56. [56] Dapsartan Forte 400mg | Inhaler | Sanofi
57. [57] Oxastin 40mg | Tablet | Sun Pharma
58. [58] Cefpraz A 1mg | Inhaler | Wockhardt
59. [59] Cefcycline 40mg | Powder | Mankind
60. [60] Erypraz Forte 200mcg | Tablet | Aurobindo
61. [61] Velpride O 10mg | Cream | Ipca
62. [62] Carbzolam Forte 2.5mg | Injection | Alkem
63. [63] Lincoxib 800mg | Drops | Macleods
64. [64] Ledprofen ER 5ml | Capsule | Micro Labs
65. [65] Tazpenem M 10mg | Syrup | Ipca
66. [66] Azithpride SR 25mg | Syrup | Macleods
67. [67] Glimclav 20mg | Cream | Torrent
68. [68] Rosuclav 150mg | Sachet | Mankind
69. [69] Atorformin 200mcg | Drops | Lupin
70. [70] Ganzepam 25mg | Powder | Emcure
71. [71] Tentidine 1mg | Injection | Micro Labs
72. [72] Biaasvir 2.5mg | Tablet | Sanofi
73. [73] Bacpride O 75mg | Injection | Aristo
74. [74] Eryasvir 200mg | Sachet | Sun Pharma
75. [75] Penflozin ER 100mcg | Injection | Ipca
76. [76] Eryterol 500mg | Injection | Emcure
77. [77] Pivbuvir 200mg | Drops | Abbott
78. [78] Omebactam 1mg | Drops | Novartis
79. [79] Amolukast 40mg | Drops | Abbott
80. [80] Paracycline Forte 0.5mg | Capsule | Aristo
81. [81] Levpraz 25mg | Powder | J.B. Chemicals
82. [82] Metpram Forte 250mg | Inhaler | Macleods
83. [83] Clinral 150mg | Syrup | Wockhardt
84. [84] Vanczolam A 0.5mg | Tablet | J.B. Chemicals
85. [85] Sanosolone SR 40mg | Powder | Alkem
86. [86] Dactidine 40mg | Syrup | Aristo
87. [87] Aciral Plus 650mg | Capsule | Abbott
88. [88] Eryxicam D 100mcg | Drops | Macleods
89. [89] Cilzine 5ml | Capsule | Micro Labs
90. [90] Lineprevir Plus 100mcg | Syrup | Lupin
91. [91] Ampmine A 150mg | Cream | GSK
92. [92] Empstatin 150mg | Cream | Novartis
93. [93] Velbactam 25mg | Tablet | Sanofi
94. [94] Vildbuvir A 100mg | Powder | Aristo
95. [95] Amlprazole A 100mcg | Sachet | Sanofi
96. [96] Empvir Plus 75mg | Injection | Novartis
97. [97] Azithox 400mg | Sachet | Dr. Reddys
98. [98] Acilukast ER 150mg | Sachet | Macleods
99. [99] Tazozolid 200mg | Ointment | Cipla
100. [100] Vabodipine ER 150mg | Tablet | Torrent
101. [101] Clavlukast Plus 100mg | Syrup | J.B. Chemicals
102. [102] Valmine ER 100mg | Powder | GSK
103. [103] Linformin A 75mg | Inhaler | Zydus Cadila
104. [104] Novemycin O 5mg | Tablet | Emcure
105. [105] Amoxxacin O 2.5mg | Tablet | Abbott
106. [106] Clinpram ER 800mg | Ointment | Emcure
107. [107] Cloxzine Forte 1mg | Sachet | USV
108. [108] Carbma Plus 1mg | Injection | Novartis
109. [109] Ganfine O 100mg | Injection | Alkem
110. [110] Leddipine A 400mg | Powder | Torrent
111. [111] Ledpram Plus 5mg | Injection | Cipla
112. [112] Dacformin Plus 0.5mg | Drops | Lupin
113. [113] Ertazepam SR 800mg | Capsule | USV
114. [114] Avipiride ER 2gm | Capsule | USV
115. [115] Vabopraz 1000mg | Powder | Aristo
116. [116] Rabzole Plus 2.5mg | Cream | Abbott
117. [117] Amoxpram 2.5mg | Injection | Abbott
118. [118] Valdoc Plus 800mg | Powder | Aurobindo
119. [119] Sofsartan 40mg | Inhaler | USV
120. [120] Biazosin 1mg | Cream | Pfizer
121. [121] Amoxterol Plus 150mg | Powder | Sun Pharma
122. [122] Vildclav 800mg | Capsule | Serum Institute
123. [123] Ampbactam O 50mcg | Tablet | Pfizer
124. [124] Azithasvir Forte 25mg | Capsule | Serum Institute
125. [125] Triloxacin M 100mcg | Capsule | Lupin
126. [126] Aviclav ER 40mg | Cream | Sanofi
127. [127] Cloxzepam Plus 100mg | Injection | Sanofi
128. [128] Pivpenem 20mg | Syrup | Abbott
129. [129] Clinprofen Plus 50mcg | Capsule | Mankind
130. [130] Paragliptin ER 40mg | Injection | GSK
131. [131] Cetmine 200mcg | Powder | Torrent
132. [132] Azithpril 1000mg | Powder | Torrent
133. [133] Levdipine O 10mg | Injection | Alkem
134. [134] Panipraz A 150mg | Drops | Ipca
135. [135] Ganlam 500mg | Injection | Cipla
136. [136] Dacfenac Plus 75mg | Syrup | Aristo
137. [137] Cefzine SR 1gm | Syrup | GSK
138. [138] Novecycline 40mg | Tablet | Lupin
139. [139] Cetpam D 650mg | Capsule | Ipca
140. [140] Dicloterol ER 1000mg | Capsule | Intas
141. [141] Velpam SR 0.5mg | Powder | Torrent
142. [142] Pivclav ER 20mg | Powder | Aristo
143. [143] Relevir D 20mg | Cream | Micro Labs
144. [144] Cilzole 1gm | Capsule | FDC
145. [145] Telxicam ER 200mcg | Drops | FDC
146. [146] Amoxformin Plus 20mg | Syrup | FDC
147. [147] Rablone Forte 250mg | Tablet | Serum Institute
148. [148] Ertamine O 40mg | Cream | Torrent
149. [149] Methbactam 5mg | Injection | Glenmark
150. [150] Cloxpitant 0.5mg | Drops | Alembic
151. [151] Paniformin 5ml | Tablet | Micro Labs
152. [152] Amoxcet 100mg | Sachet | Micro Labs
153. [153] Amoxstatin 2mg | Syrup | Abbott
154. [154] Panterol 200mg | Injection | Alkem
155. [155] Ticasone D 2gm | Tablet | Emcure
156. [156] Cilxicam SR 10mg | Cream | Abbott
157. [157] Ribalukast SR 100mg | Injection | Alkem
158. [158] Carbbuvir 5ml | Cream | USV
159. [159] Cidzolid M 0.5mg | Powder | Zydus Cadila
160. [160] Cloxcet O 10mg | Syrup | Glenmark
161. [161] Ertapam 25mg | Syrup | Cipla
162. [162] Azithpride D 0.5mg | Powder | FDC
163. [163] Linpium 20ml | Drops | Cipla
164. [164] Farpride ER 5ml | Sachet | Alembic
165. [165] Sulpitant 500mg | Tablet | Zydus Cadila
166. [166] Rosuzolam O 250mg | Powder | Alembic
167. [167] Foscillin 50mcg | Cream | Wockhardt
168. [168] Atorprofen 10mg | Sachet | Sanofi
169. [169] Azithzosin 10mg | Drops | Novartis
170. [170] Cilma D 50mg | Injection | Aurobindo
171. [171] Eryprazole 250mg | Capsule | Biocon
172. [172] Levlone D 10mg | Ointment | Torrent
